scenario_id,source_event_id,user_id,timestamp,ip_address,location,latitude,longitude,device_fingerprint,user_agent,auth_status,failed_attempts,access_pattern,source
normal_login,alias-demo-hist-demo_sarah-010,demo_sarah,2026-09-13T10:00:00,104.28.1.1,"London, UK",51.5074,-0.1278,sarah-macbook-pro,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,SUCCESS,0,DIRECT,DEMO_HISTORY
normal_login,alias-demo-hist-demo_sarah-009,demo_sarah,2026-09-14T10:00:00,104.28.1.1,"London, UK",51.5074,-0.1278,sarah-macbook-pro,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,SUCCESS,0,DIRECT,DEMO_HISTORY
normal_login,alias-demo-hist-demo_sarah-008,demo_sarah,2026-09-15T10:00:00,104.28.1.1,"London, UK",51.5074,-0.1278,sarah-macbook-pro,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,SUCCESS,0,DIRECT,DEMO_HISTORY
normal_login,alias-demo-hist-demo_sarah-007,demo_sarah,2026-09-16T10:00:00,104.28.1.1,"London, UK",51.5074,-0.1278,sarah-macbook-pro,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,SUCCESS,0,DIRECT,DEMO_HISTORY
normal_login,alias-demo-hist-demo_sarah-006,demo_sarah,2026-09-17T10:00:00,104.28.1.1,"London, UK",51.5074,-0.1278,sarah-macbook-pro,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,SUCCESS,0,DIRECT,DEMO_HISTORY
normal_login,alias-demo-hist-demo_sarah-005,demo_sarah,2026-09-18T10:00:00,104.28.1.1,"London, UK",51.5074,-0.1278,sarah-macbook-pro,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,SUCCESS,0,DIRECT,DEMO_HISTORY
normal_login,alias-demo-hist-demo_sarah-004,demo_sarah,2026-09-19T10:00:00,104.28.1.1,"London, UK",51.5074,-0.1278,sarah-macbook-pro,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,SUCCESS,0,DIRECT,DEMO_HISTORY
normal_login,alias-demo-hist-demo_sarah-003,demo_sarah,2026-09-20T10:00:00,104.28.1.1,"London, UK",51.5074,-0.1278,sarah-macbook-pro,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,SUCCESS,0,DIRECT,DEMO_HISTORY
normal_login,alias-demo-hist-demo_sarah-002,demo_sarah,2026-09-21T10:00:00,104.28.1.1,"London, UK",51.5074,-0.1278,sarah-macbook-pro,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,SUCCESS,0,DIRECT,DEMO_HISTORY
normal_login,alias-demo-hist-demo_sarah-001,demo_sarah,2026-09-22T10:00:00,104.28.1.1,"London, UK",51.5074,-0.1278,sarah-macbook-pro,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,SUCCESS,0,DIRECT,DEMO_HISTORY
normal_login,alias-demo-normal-001,demo_sarah,2026-09-23T10:00:00,104.28.1.1,"London, UK",51.5074,-0.1278,sarah-macbook-pro,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,SUCCESS,0,DIRECT,SCENARIO
new_device,alias-demo-hist-demo_david-010,demo_david,2026-09-13T10:00:00,12.34.56.78,"New York, US",40.7128,-74.006,david-windows-10,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,SUCCESS,0,DIRECT,DEMO_HISTORY
new_device,alias-demo-hist-demo_david-009,demo_david,2026-09-14T10:00:00,12.34.56.78,"New York, US",40.7128,-74.006,david-windows-10,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,SUCCESS,0,DIRECT,DEMO_HISTORY
new_device,alias-demo-hist-demo_david-008,demo_david,2026-09-15T10:00:00,12.34.56.78,"New York, US",40.7128,-74.006,david-windows-10,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,SUCCESS,0,DIRECT,DEMO_HISTORY
new_device,alias-demo-hist-demo_david-007,demo_david,2026-09-16T10:00:00,12.34.56.78,"New York, US",40.7128,-74.006,david-windows-10,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,SUCCESS,0,DIRECT,DEMO_HISTORY
new_device,alias-demo-hist-demo_david-006,demo_david,2026-09-17T10:00:00,12.34.56.78,"New York, US",40.7128,-74.006,david-windows-10,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,SUCCESS,0,DIRECT,DEMO_HISTORY
new_device,alias-demo-hist-demo_david-005,demo_david,2026-09-18T10:00:00,12.34.56.78,"New York, US",40.7128,-74.006,david-windows-10,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,SUCCESS,0,DIRECT,DEMO_HISTORY
new_device,alias-demo-hist-demo_david-004,demo_david,2026-09-19T10:00:00,12.34.56.78,"New York, US",40.7128,-74.006,david-windows-10,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,SUCCESS,0,DIRECT,DEMO_HISTORY
new_device,alias-demo-hist-demo_david-003,demo_david,2026-09-20T10:00:00,12.34.56.78,"New York, US",40.7128,-74.006,david-windows-10,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,SUCCESS,0,DIRECT,DEMO_HISTORY
new_device,alias-demo-hist-demo_david-002,demo_david,2026-09-21T10:00:00,12.34.56.78,"New York, US",40.7128,-74.006,david-windows-10,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,SUCCESS,0,DIRECT,DEMO_HISTORY
new_device,alias-demo-hist-demo_david-001,demo_david,2026-09-22T10:00:00,12.34.56.78,"New York, US",40.7128,-74.006,david-windows-10,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,SUCCESS,0,DIRECT,DEMO_HISTORY
new_device,alias-demo-new-device-001,demo_david,2026-09-23T10:00:00,12.34.56.78,"New York, US",40.7128,-74.006,david-linux-unknown,curl/7.68.0,SUCCESS,0,DIRECT,SCENARIO
impossible_travel,alias-demo-hist-demo_traveler-010,demo_traveler,2026-09-13T10:00:00,115.114.1.1,"Bengaluru, IN",12.9716,77.5946,traveler-phone,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),SUCCESS,0,DIRECT,DEMO_HISTORY
impossible_travel,alias-demo-hist-demo_traveler-009,demo_traveler,2026-09-14T10:00:00,115.114.1.1,"Bengaluru, IN",12.9716,77.5946,traveler-phone,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),SUCCESS,0,DIRECT,DEMO_HISTORY
impossible_travel,alias-demo-hist-demo_traveler-008,demo_traveler,2026-09-15T10:00:00,115.114.1.1,"Bengaluru, IN",12.9716,77.5946,traveler-phone,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),SUCCESS,0,DIRECT,DEMO_HISTORY
impossible_travel,alias-demo-hist-demo_traveler-007,demo_traveler,2026-09-16T10:00:00,115.114.1.1,"Bengaluru, IN",12.9716,77.5946,traveler-phone,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),SUCCESS,0,DIRECT,DEMO_HISTORY
impossible_travel,alias-demo-hist-demo_traveler-006,demo_traveler,2026-09-17T10:00:00,115.114.1.1,"Bengaluru, IN",12.9716,77.5946,traveler-phone,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),SUCCESS,0,DIRECT,DEMO_HISTORY
impossible_travel,alias-demo-hist-demo_traveler-005,demo_traveler,2026-09-18T10:00:00,115.114.1.1,"Bengaluru, IN",12.9716,77.5946,traveler-phone,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),SUCCESS,0,DIRECT,DEMO_HISTORY
impossible_travel,alias-demo-hist-demo_traveler-004,demo_traveler,2026-09-19T10:00:00,115.114.1.1,"Bengaluru, IN",12.9716,77.5946,traveler-phone,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),SUCCESS,0,DIRECT,DEMO_HISTORY
impossible_travel,alias-demo-hist-demo_traveler-003,demo_traveler,2026-09-20T10:00:00,115.114.1.1,"Bengaluru, IN",12.9716,77.5946,traveler-phone,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),SUCCESS,0,DIRECT,DEMO_HISTORY
impossible_travel,alias-demo-hist-demo_traveler-002,demo_traveler,2026-09-21T10:00:00,115.114.1.1,"Bengaluru, IN",12.9716,77.5946,traveler-phone,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),SUCCESS,0,DIRECT,DEMO_HISTORY
impossible_travel,alias-demo-hist-demo_traveler-001,demo_traveler,2026-09-22T10:00:00,115.114.1.1,"Bengaluru, IN",12.9716,77.5946,traveler-phone,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),SUCCESS,0,DIRECT,DEMO_HISTORY
impossible_travel,alias-demo-impossible-travel-001,demo_traveler,2026-09-23T09:40:00,115.114.1.1,"Bengaluru, IN",12.9716,77.5946,traveler-phone,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),SUCCESS,0,DIRECT,SCENARIO
impossible_travel,alias-demo-impossible-travel-002,demo_traveler,2026-09-23T10:00:00,104.28.1.2,"London, UK",51.5074,-0.1278,traveler-phone,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),SUCCESS,0,DIRECT,SCENARIO
